price,avg_rating,battery_capacity,ram_capacity,internal_memory,screen_size,cpu_benchmark,hashed_brand_name,hashed_model,normalized_avg_rating
17599.0,7.3,3110,4,64.0,6.1,5728.0,25971227,21099467,0.5
18999.0,7.5,3110,4,128.0,6.1,5728.0,25971227,94197986,0.5588235294117647
19269.8,7.7,3500,4,64.0,6.5,5728.0,25971227,93846176,0.6176470588235295
28599.0,7.4,0,4,64.0,6.1,8555.0,25971227,56804521,0.5294117647058825
32999.0,7.5,0,4,128.0,6.1,8555.0,25971227,40862537,0.5588235294117647
34999.0,7.6,0,4,256.0,6.1,8555.0,25971227,48479562,0.588235294117647
19699.0,7.4,0,4,64.0,5.4,8555.0,25971227,89008694,0.5294117647058825
20699.0,7.5,0,4,128.0,5.4,8555.0,25971227,19865422,0.5588235294117647
22699.0,7.5,0,4,256.0,5.4,8555.0,25971227,19639353,0.5588235294117647
24239.0,8.0,0,6,256.0,6.1,8555.0,25971227,75063056,0.7058823529411765
32999.0,8.0,0,6,512.0,6.1,8555.0,25971227,75144706,0.7058823529411765
26999.0,7.9,3240,4,128.0,6.1,9902.0,25971227,48729475,0.6764705882352943
28999.0,7.9,3240,4,256.0,6.1,9902.0,25971227,42322807,0.6764705882352943
30999.0,8.0,3240,4,512.0,6.1,9902.0,25971227,95474745,0.7058823529411765
22949.0,7.9,2438,4,128.0,5.4,9902.0,25971227,16357345,0.6764705882352943
29999.0,8.3,3095,6,128.0,6.1,9902.0,25971227,94653294,0.7941176470588237
32999.0,8.4,3095,6,1024.0,6.1,9902.0,25971227,70458091,0.823529411764706
31999.0,8.3,3095,6,256.0,6.1,9902.0,25971227,66254814,0.7941176470588237
34999.0,8.4,4352,6,128.0,6.7,9902.0,25971227,4191025,0.823529411764706
39999.0,8.6,4352,6,1024.0,6.7,9902.0,25971227,86861670,0.8823529411764705
37999.0,8.4,4352,6,256.0,6.7,9902.0,25971227,53652371,0.823529411764706
31999.0,8.1,3279,6,128.0,6.1,9902.0,25971227,18659822,0.7352941176470588
33999.0,8.2,3279,6,256.0,6.1,9902.0,25971227,45815566,0.764705882352941
35999.0,8.2,3279,6,512.0,6.1,9902.0,25971227,42338976,0.764705882352941
32999.0,8.2,4325,6,128.0,6.7,9902.0,25971227,68120278,0.764705882352941
34999.0,8.3,4325,6,256.0,6.7,9902.0,25971227,86508717,0.7941176470588237
37999.0,8.3,4325,6,512.0,6.7,9902.0,25971227,43269717,0.7941176470588237
36999.0,7.5,3200,6,128.0,6.1,11025.0,25971227,64557077,0.5588235294117647
42999.0,7.7,3200,6,1024.0,6.1,11205.0,25971227,87495179,0.6176470588235295
39999.0,7.6,3200,6,256.0,6.1,11205.0,25971227,8895314,0.588235294117647
60999.0,7.6,4323,6,128.0,6.7,11205.0,25971227,47933540,0.588235294117647
82999.0,7.8,4323,6,1024.0,6.7,11205.0,25971227,58942005,0.6470588235294118
65999.0,7.7,4323,6,256.0,6.7,11205.0,25971227,74887406,0.6176470588235295
72999.0,7.8,4323,6,512.0,6.7,11205.0,25971227,75100508,0.6470588235294118
52999.0,7.2,3285,6,128.0,6.06,11205.0,25971227,99538819,0.47058823529411775
60999.0,7.5,4532,8,128.0,6.71,11205.0,25971227,3691506,0.5588235294117647
63999.0,7.5,0,8,128.0,6.06,12246.0,25971227,32345597,0.5588235294117647
85799.0,7.9,4352,8,256.0,6.68,12246.0,25971227,45973348,0.6764705882352943
3199.0,8.0,2230,3,32.0,4.7,2068.0,25971227,58284766,0.7058823529411765
8599.0,6.1,2050,3,64.0,4.7,4425.0,25971227,24886762,0.14705882352941174
6999.0,6.3,1821,3,64.0,4.7,5728.0,25971227,69496927,0.2058823529411765
29999.0,7.3,2200,4,64.0,4.7,9902.0,25971227,8196674,0.5
12599.0,6.0,3060,4,64.0,6.1,5012.0,25971227,32341614,0.11764705882352951
13000.0,8.7,6000,8,128.0,6.78,4613.0,63301573,94242475,0.9117647058823527
17500.0,8.6,6000,12,256.0,6.78,9362.0,63301573,65138805,0.8823529411764705
30000.0,8.8,6000,16,256.0,6.78,9362.0,63301573,39950146,0.9411764705882355
23500.0,8.8,6000,18,512.0,6.78,9362.0,63301573,89273829,0.9411764705882355
21500.0,8.0,6000,16,512.0,6.78,7855.0,63301573,33108948,0.7058823529411765
24999.0,8.7,6000,18,256.0,6.8,9362.0,63301573,21935698,0.9117647058823527
22500.0,8.6,4300,8,128.0,5.9,7855.0,63301573,99519356,0.8823529411764705
7000.0,6.9,3520,4,128.0,6.0,2211.0,45519331,46781365,0.3823529411764708
6300.0,6.7,3700,4,64.0,6.0,2431.0,45519331,29834329,0.323529411764706
7799.0,7.8,2800,6,64.0,5.7,5547.0,45519331,47641879,0.6470588235294118
10599.0,8.2,4080,8,128.0,6.0,3853.0,45519331,27849454,0.764705882352941
10095.0,7.8,4620,6,128.0,6.34,3853.0,45519331,25511405,0.6470588235294118
7899.0,8.4,4614,8,128.0,6.4,6698.0,45519331,47606147,0.823529411764706
8999.0,8.9,5003,12,128.0,6.71,6698.0,45519331,82825402,0.9705882352941178
9999.0,8.0,5003,12,256.0,6.71,6698.0,45519331,3083621,0.7058823529411765
8599.0,7.1,4410,6,128.0,6.14,6698.0,45519331,65333429,0.4411764705882352
11500.0,8.6,4355,8,128.0,6.3,7380.0,45519331,30218615,0.8823529411764705
13799.0,8.0,5000,12,128.0,6.7,7380.0,45519331,83215948,0.7058823529411765
12500.0,6.9,4410,6,128.0,6.1,7380.0,45519331,27142951,0.3823529411764708
