price,avg_rating,battery_capacity,ram_capacity,internal_memory,screen_size,cpu_benchmark,hashed_brand_name,hashed_model
17599.0,7.3,3110,4,64.0,6.1,5728.0,25971227,21099467
18999.0,7.5,3110,4,128.0,6.1,5728.0,25971227,94197986
19269.8,7.7,3500,4,64.0,6.5,5728.0,25971227,93846176
28599.0,7.4,0,4,64.0,6.1,8555.0,25971227,56804521
32999.0,7.5,0,4,128.0,6.1,8555.0,25971227,40862537
34999.0,7.6,0,4,256.0,6.1,8555.0,25971227,48479562
19699.0,7.4,0,4,64.0,5.4,8555.0,25971227,89008694
20699.0,7.5,0,4,128.0,5.4,8555.0,25971227,19865422
22699.0,7.5,0,4,256.0,5.4,8555.0,25971227,19639353
24239.0,8.0,0,6,256.0,6.1,8555.0,25971227,75063056
32999.0,8.0,0,6,512.0,6.1,8555.0,25971227,75144706
26999.0,7.9,3240,4,128.0,6.1,9902.0,25971227,48729475
28999.0,7.9,3240,4,256.0,6.1,9902.0,25971227,42322807
30999.0,8.0,3240,4,512.0,6.1,9902.0,25971227,95474745
22949.0,7.9,2438,4,128.0,5.4,9902.0,25971227,16357345
29999.0,8.3,3095,6,128.0,6.1,9902.0,25971227,94653294
32999.0,8.4,3095,6,1024.0,6.1,9902.0,25971227,70458091
31999.0,8.3,3095,6,256.0,6.1,9902.0,25971227,66254814
34999.0,8.4,4352,6,128.0,6.7,9902.0,25971227,4191025
39999.0,8.6,4352,6,1024.0,6.7,9902.0,25971227,86861670
37999.0,8.4,4352,6,256.0,6.7,9902.0,25971227,53652371
31999.0,8.1,3279,6,128.0,6.1,9902.0,25971227,18659822
33999.0,8.2,3279,6,256.0,6.1,9902.0,25971227,45815566
35999.0,8.2,3279,6,512.0,6.1,9902.0,25971227,42338976
32999.0,8.2,4325,6,128.0,6.7,9902.0,25971227,68120278
34999.0,8.3,4325,6,256.0,6.7,9902.0,25971227,86508717
37999.0,8.3,4325,6,512.0,6.7,9902.0,25971227,43269717
36999.0,7.5,3200,6,128.0,6.1,11025.0,25971227,64557077
42999.0,7.7,3200,6,1024.0,6.1,11205.0,25971227,87495179
39999.0,7.6,3200,6,256.0,6.1,11205.0,25971227,8895314
60999.0,7.6,4323,6,128.0,6.7,11205.0,25971227,47933540
82999.0,7.8,4323,6,1024.0,6.7,11205.0,25971227,58942005
65999.0,7.7,4323,6,256.0,6.7,11205.0,25971227,74887406
72999.0,7.8,4323,6,512.0,6.7,11205.0,25971227,75100508
52999.0,7.2,3285,6,128.0,6.06,11205.0,25971227,99538819
60999.0,7.5,4532,8,128.0,6.71,11205.0,25971227,3691506
63999.0,7.5,0,8,128.0,6.06,12246.0,25971227,32345597
85799.0,7.9,4352,8,256.0,6.68,12246.0,25971227,45973348
3199.0,0.0,2230,3,32.0,4.7,2068.0,25971227,58284766
8599.0,6.1,2050,3,64.0,4.7,4425.0,25971227,24886762
